CPF,Saldo_Inicial,Total_Movimentacao_dia,Last_Transaction_Date,Real_Balance
00000000001,523.86,891.3200073242188,03/04/2022,1415.1800073242189
00000000002,917.78,548.930004119873,03/04/2022,1466.710004119873
00000000003,321.84,-309.27001190185547,03/04/2022,12.569988098144506
00000000004,271.51,241.61999130249023,02/04/2022,513.1299913024902
00000000005,225.55,257.13999938964844,02/04/2022,482.68999938964845
00000000006,875.5,444.989990234375,02/04/2022,1320.489990234375
00000000007,365.88,426.53001403808594,02/04/2022,792.4100140380859
00000000008,832.63,190.36000061035156,03/04/2022,1022.9900006103516
00000000009,221.12,0.0,01/04/2022,221.12
00000000010,600.3499755859375,325.6099739074707,03/04/2022,925.9599494934082
00000000011,768.3599853515625,768.3599853515625,03/04/2022,1536.719970703125
