Nome,CPF,Data,Saldo_Inicial,Credito,Debito,Movimentacao_dia,Saldo_Final
Maria,00000000001,01/04/2022,523.86,0.0,0.0,0.0,523.86
Maria,00000000001,03/04/2022,523.86,157.62,0.0,157.62,681.4799951171875
Maria,00000000001,03/04/2022,681.4799951171875,518.89,0.0,518.89,1200.3700097656251
Maria,00000000001,03/04/2022,1200.3700097656251,214.81,0.0,214.81,1415.1800073242189
José,00000000002,01/04/2022,917.78,0.0,0.0,0.0,917.78
José,00000000002,03/04/2022,917.78,56.8,0.0,56.8,974.5799992370605
José,00000000002,03/04/2022,974.5799992370605,492.13,0.0,492.13,1466.710004119873
João,00000000003,01/04/2022,321.84,0.0,0.0,0.0,321.84
João,00000000003,03/04/2022,321.84,0.0,-106.57,-106.57,215.27000030517576
João,00000000003,03/04/2022,215.27000030517576,0.0,-406.67,-406.67,-191.40001312255862
João,00000000003,03/04/2022,-191.40001312255862,203.97,0.0,203.97,12.569988098144506
Paulo,00000000004,01/04/2022,271.51,0.0,0.0,0.0,271.51
Paulo,00000000004,02/04/2022,271.51,0.0,-32.56,-32.56,238.94999862670898
Paulo,00000000004,02/04/2022,238.94999862670898,274.18,0.0,274.18,513.1299913024902
Pedro,00000000005,01/04/2022,225.55,0.0,0.0,0.0,225.55
Pedro,00000000005,02/04/2022,225.55,0.0,-169.51,-169.51,56.040005493164074
Pedro,00000000005,02/04/2022,56.040005493164074,0.0,-108.42,-108.42,-52.37999267578124
Pedro,00000000005,02/04/2022,-52.37999267578124,134.8,0.0,134.8,82.42001037597657
Pedro,00000000005,02/04/2022,82.42001037597657,230.76,0.0,230.76,313.1800048828125
Pedro,00000000005,02/04/2022,313.1800048828125,169.51,0.0,169.51,482.68999938964845
Antonio,00000000006,01/04/2022,875.5,0.0,0.0,0.0,875.5
Antonio,00000000006,02/04/2022,875.5,444.99,0.0,444.99,1320.489990234375
Antonio,00000000006,02/04/2022,1320.489990234375,0.0,-161.22,-161.22,1159.2699890136719
Antonio,00000000006,02/04/2022,1159.2699890136719,161.22,0.0,161.22,1320.489990234375
Marcos,00000000007,01/04/2022,365.88,0.0,0.0,0.0,365.88
Marcos,00000000007,02/04/2022,365.88,291.73,0.0,291.73,657.6100109863281
Marcos,00000000007,02/04/2022,657.6100109863281,0.0,-133.67,-133.67,523.9400128173828
Marcos,00000000007,02/04/2022,523.9400128173828,134.8,0.0,134.8,658.7400158691406
Marcos,00000000007,02/04/2022,658.7400158691406,133.67,0.0,133.67,792.4100140380859
Luiz,00000000008,01/04/2022,832.63,0.0,0.0,0.0,832.63
Luiz,00000000008,03/04/2022,832.63,0.0,-36.47,-36.47,796.1599987792969
Luiz,00000000008,03/04/2022,796.1599987792969,226.83,0.0,226.83,1022.9900006103516
Arthur,00000000009,01/04/2022,221.12,0.0,0.0,0.0,221.12
Guilherme,00000000010,02/04/2022,600.3499755859375,600.35,0.0,600.35,600.3499755859375
Guilherme,00000000010,03/04/2022,600.3499755859375,0.0,-334.0,-334.0,266.3499755859375
Guilherme,00000000010,03/04/2022,266.3499755859375,59.26,0.0,59.26,325.6099739074707
Helena,00000000011,03/04/2022,768.3599853515625,768.36,0.0,768.36,768.3599853515625
